Date,Price
2016-05-07,462.31153842
2016-05-08,461.19978852
2016-05-09,461.67592814
2016-05-10,454.53
2016-05-11,453.08660632
2016-05-12,453.84440302
2016-05-13,457.56671305
2016-05-14,459.28578145
2016-05-15,462.67
2016-05-16,456.24
2016-05-17,454.59369013
2016-05-18,456.28968937
2016-05-19,442.9953105
2016-05-20,443.47931729
2016-05-21,446.24359535
2016-05-22,443.31177678
2016-05-23,444.66363116
2016-05-24,447.42243201
2016-05-25,450.8925538
2016-05-26,454.95062854
2016-05-27,470.74454910000003
2016-05-28,519.49427235
2016-05-29,526.97318565
2016-05-30,533.4632862
2016-05-31,527.85
2016-06-01,535.54
2016-06-02,536.92989142
2016-06-03,574.02904014
2016-06-04,576.73476763
2016-06-05,574.89164119
2016-06-06,583.97790767
2016-06-07,579.90551218
2016-06-08,581.91247392
2016-06-09,577.51907676
2016-06-10,579.96948504
2016-06-11,586.69675603
2016-06-12,674.0506341
2016-06-13,702.41871102
2016-06-14,686.42660764
2016-06-15,692.81
2016-06-16,774.67248656
2016-06-17,749.98550331
2016-06-18,755.78901123
2016-06-19,766.97230577
2016-06-20,734.52392883
2016-06-21,654.76628366
2016-06-22,623.46150367
2016-06-23,621.94643606
2016-06-24,665.88940637
2016-06-25,669.97880171
2016-06-26,641.21894693
2016-06-27,648.10989375
2016-06-28,648.67058735
2016-06-29,636.93400997
2016-06-30,667.88009625
2016-07-01,679.29582728
2016-07-02,699.99
2016-07-03,665.82236123
2016-07-04,678.45
2016-07-05,670.71677165
2016-07-06,675.99508984
2016-07-07,628.0499834
2016-07-08,660.71029525
2016-07-09,657.23064956
2016-07-10,652.01620239
2016-07-11,651.72558705
2016-07-12,669.99416667
2016-07-13,662.08554261
2016-07-14,662.54703692
2016-07-15,668.79
2016-07-16,666.54978959
2016-07-17,680.80742413
2016-07-18,674.98
2016-07-19,671.69450309
2016-07-20,667.36240967
2016-07-21,667.13279558
2016-07-22,657.38272268
2016-07-23,658.92460747
2016-07-24,661.37080205
2016-07-25,657.44319927
2016-07-26,658.23426624
2016-07-27,656.38922008
2016-07-28,657.4138555
2016-07-29,657.97428297
2016-07-30,656.16691264
2016-07-31,635.02995521
2016-08-01,615.24561014
2016-08-02,554.24199733
2016-08-03,572.98025171
2016-08-04,572.78616762
2016-08-05,581.26675741
2016-08-06,588.29357957
2016-08-07,594.97
2016-08-08,593.73624285
2016-08-09,587.1
2016-08-10,595.22192289
2016-08-11,590.24804734
2016-08-12,587.46
2016-08-13,586.50448555
2016-08-14,571.58
2016-08-15,568.18
2016-08-16,580.23994824
2016-08-17,573.1026041
2016-08-18,574.45
2016-08-19,574.88646473
2016-08-20,582.66893795
2016-08-21,580.76006184
2016-08-22,583.68545477
2016-08-23,582.30918924
2016-08-24,578.52939487
2016-08-25,576.55736081
2016-08-26,578.99
2016-08-27,570.89991383
2016-08-28,574.44499594
2016-08-29,572.71782072
2016-08-30,575.59155151
2016-08-31,571.39263468
2016-09-01,571.33736222
2016-09-02,575.34433117
2016-09-03,599.7610485
2016-09-04,610.12653395
2016-09-05,607.76970364
2016-09-06,612.17680684
2016-09-07,615.06664834
2016-09-08,626.81619816
2016-09-09,622.46942163
2016-09-10,625.74933444
2016-09-11,606.81850442
2016-09-12,606.25302319
2016-09-13,609.91009174
2016-09-14,609.78936909
2016-09-15,606.63
2016-09-16,607.87
2016-09-17,608.26
2016-09-18,611.07758803
2016-09-19,608.44
2016-09-20,608.92764438
2016-09-21,595.96455619
2016-09-22,596.77648095
2016-09-23,602.5
2016-09-24,603.91855194
2016-09-25,600.86587873
2016-09-26,606.72950497
2016-09-27,602.71065709
2016-09-28,605.01
2016-09-29,606.68978607
2016-09-30,605.69713311
2016-10-01,614.79
2016-10-02,611.42
2016-10-03,612.74313894
2016-10-04,609.38172999
2016-10-05,613.45484436
2016-10-06,611.87431393
2016-10-07,618.11607693
2016-10-08,619.17024627
2016-10-09,617.81495805
2016-10-10,618.22475579
2016-10-11,639.5
2016-10-12,635.49268285
2016-10-13,636.64661032
2016-10-14,637.93
2016-10-15,636.52
2016-10-16,643.59958734
2016-10-17,637.37752615
2016-10-18,635.17038771
2016-10-19,628.65731131
2016-10-20,627.5970083999999
2016-10-21,629.69639896
2016-10-22,653.67566287
2016-10-23,652.82317322
2016-10-24,648.95060831
2016-10-25,654.94502083
2016-10-26,673.52006656
2016-10-27,679.28805147
2016-10-28,688.95305139
2016-10-29,715.89355554
2016-10-30,695.16466183
2016-10-31,699.99372926
2016-11-01,729.38590716
2016-11-02,733.0
2016-11-03,682.15957107
2016-11-04,704.98238976
2016-11-05,706.51200227
2016-11-06,718.9
2016-11-07,707.98542592
2016-11-08,712.32753073
2016-11-09,719.87
2016-11-10,710.98
2016-11-11,716.5429106
2016-11-12,704.81445269
2016-11-13,704.28159741
2016-11-14,707.5
2016-11-15,712.3568474
2016-11-16,735.79383332
2016-11-17,738.49518524
2016-11-18,749.63222819
2016-11-19,750.05
2016-11-20,730.86174475
2016-11-21,735.93494362
2016-11-22,745.06029479
2016-11-23,741.02683042
2016-11-24,737.1100709
2016-11-25,738.70207976
2016-11-26,735.78485761
2016-11-27,730.87361809
2016-11-28,730.63347519
2016-11-29,730.04705433
2016-11-30,741.21228428
2016-12-01,753.84110496
2016-12-02,772.00384519
2016-12-03,766.46
2016-12-04,765.58
