Date,Price
2015-07-30,0.0
2015-07-31,0.0
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,3.0
2015-08-08,1.2
2015-08-09,1.2
2015-08-10,0.0
2015-08-11,0.99
2015-08-12,1.29
2015-08-13,1.88
2015-08-14,1.79
2015-08-15,1.79
2015-08-17,1.3
2015-08-16,1.37
2015-08-18,1.36
2015-08-19,1.24
2015-08-20,1.52
2015-08-21,1.44
2015-08-22,1.4
2015-08-23,1.35
2015-08-24,1.24
2015-08-25,1.27
2015-08-26,1.18
2015-08-27,1.14
2015-08-28,1.3
2015-08-29,1.18
2015-08-30,1.32
2015-08-31,1.31
2015-09-01,1.36
2015-09-02,1.14
2015-09-03,1.23
2015-09-04,1.35
2015-09-05,1.37
2015-09-06,1.34
2015-09-07,1.28
2015-09-08,1.26
2015-09-09,1.21
2015-09-10,1.19
2015-09-11,0.92
2015-09-12,1.15
2015-09-13,0.89
2015-09-14,0.96
2015-09-15,0.95
2015-09-16,0.94
2015-09-17,0.88
2015-09-18,0.85
2015-09-19,0.89
2015-09-20,0.89
2015-09-21,0.94
2015-09-22,0.81
2015-09-23,0.91
2015-09-24,0.8
2015-09-25,0.68
2015-09-26,0.77
2015-09-27,0.7
2015-09-28,0.6
2015-09-29,0.68
2015-09-30,0.71
2015-10-01,0.65
2015-10-02,0.66
2015-10-03,0.68
2015-10-04,0.61
2015-10-05,0.61
2015-10-06,0.65
2015-10-07,0.6
2015-10-08,0.62
2015-10-09,0.64
2015-10-10,0.64
2015-10-11,0.6
2015-10-12,0.63
2015-10-13,0.6
2015-10-14,0.5
2015-10-15,0.56
2015-10-16,0.53
2015-10-17,0.52
2015-10-18,0.51
2015-10-19,0.5
2015-10-20,0.44
2015-10-22,0.61
2015-10-21,0.42
2015-10-23,0.56
2015-10-24,0.56
2015-10-25,0.62
2015-10-26,0.71
2015-10-27,0.83
2015-10-28,0.99
2015-10-29,1.12
2015-10-30,1.14
2015-10-31,0.87
2015-11-01,0.99
2015-11-02,0.99
2015-11-03,1.06
2015-11-04,0.8
2015-11-05,0.88
2015-11-06,0.99
2015-11-07,0.93
2015-11-08,1.0
2015-11-09,1.0
2015-11-10,0.9
2015-11-11,0.75
2015-11-12,0.88
2015-11-13,0.9
2015-11-14,0.88
2015-11-15,0.92
2015-11-16,0.93
2015-11-17,1.0
2015-11-18,1.0
2015-11-19,0.94
2015-11-20,0.92
2015-11-21,0.96
2015-11-22,0.97
2015-11-23,0.92
2015-11-24,0.91
2015-11-25,0.87
2015-11-26,0.86
2015-11-27,0.88
2015-11-28,0.91
2015-11-29,0.87
2015-11-30,0.88
2015-12-01,0.87
2015-12-03,0.83
2015-12-02,0.82
2015-12-04,0.84
2015-12-05,0.87
2015-12-06,0.83
